               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.026055,            0.010115,          0.00049835,             0.96581,             0.98142,             0.98896,             0.61588,            0.027219,           0.0090627,           0.0010146,            0.002377,            0.002377,            0.002377
                  79,             0.02594,            0.010316,          0.00039483,             0.97337,             0.97846,             0.98911,             0.62085,            0.027197,            0.008985,          0.00092077,            0.002278,            0.002278,            0.002278
                  80,            0.026381,            0.010168,          0.00041673,             0.97001,             0.97838,             0.98951,             0.62509,            0.027314,           0.0089999,           0.0010001,            0.002179,            0.002179,            0.002179
                  81,            0.025933,            0.010362,          0.00043225,             0.96754,             0.98162,              0.9888,             0.61652,             0.02741,           0.0089944,          0.00095352,             0.00208,             0.00208,             0.00208
                  82,            0.025843,            0.010469,            0.000457,             0.97181,             0.97362,             0.98904,             0.61989,            0.027272,           0.0090634,          0.00097267,            0.001981,            0.001981,            0.001981
                  83,            0.025974,            0.010246,          0.00035947,             0.96959,             0.97732,             0.98872,             0.62341,            0.027039,           0.0090956,          0.00091947,            0.001882,            0.001882,            0.001882
                  84,            0.025604,            0.010219,          0.00044331,             0.97215,              0.9758,             0.98961,             0.62626,            0.027111,           0.0089952,          0.00094754,            0.001783,            0.001783,            0.001783
                  85,            0.025436,            0.010195,          0.00044405,               0.975,             0.97118,             0.98908,             0.61897,             0.02727,           0.0089886,          0.00095665,            0.001684,            0.001684,            0.001684
                  86,            0.025233,             0.01021,          0.00051735,             0.96997,             0.97731,             0.98955,             0.62427,            0.027181,           0.0090096,          0.00093213,            0.001585,            0.001585,            0.001585
                  87,            0.025447,            0.010223,          0.00037845,              0.9698,             0.97917,             0.98849,             0.62429,            0.027238,           0.0089827,           0.0010033,            0.001486,            0.001486,            0.001486
                  88,             0.02534,            0.010418,          0.00034165,             0.97298,             0.97325,             0.98896,             0.62927,            0.027003,            0.008994,          0.00096803,            0.001387,            0.001387,            0.001387
                  89,            0.025449,            0.010195,          0.00047963,             0.97288,             0.98114,             0.98876,             0.62429,            0.027084,           0.0089814,          0.00098457,            0.001288,            0.001288,            0.001288
                  90,            0.025276,            0.010329,          0.00040684,             0.97832,             0.97116,             0.98864,             0.62301,            0.027216,           0.0090477,          0.00097762,            0.001189,            0.001189,            0.001189
                  91,            0.025326,            0.010269,          0.00044451,             0.97549,             0.97233,              0.9888,             0.61938,            0.027026,           0.0090535,          0.00093948,             0.00109,             0.00109,             0.00109
                  92,            0.025163,            0.010238,          0.00038069,             0.97122,              0.9763,             0.98974,             0.62556,            0.027192,           0.0090666,          0.00086821,            0.000991,            0.000991,            0.000991
                  93,            0.024996,            0.010077,          0.00033295,             0.97526,             0.97559,              0.9884,             0.62642,            0.027255,           0.0090052,           0.0009597,            0.000892,            0.000892,            0.000892
                  94,            0.025087,             0.01015,          0.00030303,             0.97237,             0.97817,             0.98915,             0.62384,            0.026983,           0.0089783,          0.00086898,            0.000793,            0.000793,            0.000793
                  95,            0.024889,            0.010128,          0.00045242,              0.9754,             0.97695,              0.9887,             0.62354,            0.027072,           0.0089586,          0.00090028,            0.000694,            0.000694,            0.000694
                  96,            0.024945,            0.010076,           0.0005356,             0.97193,             0.98097,             0.98883,              0.6255,            0.026924,           0.0089502,          0.00097566,            0.000595,            0.000595,            0.000595
                  97,            0.024812,            0.010157,          0.00038376,             0.96988,             0.98175,              0.9892,             0.62265,            0.027074,           0.0090134,          0.00092517,            0.000496,            0.000496,            0.000496
                  98,            0.024519,            0.010046,          0.00046143,             0.97345,             0.97668,             0.98934,             0.62264,            0.027069,           0.0090219,          0.00090777,            0.000397,            0.000397,            0.000397
                  99,            0.024412,             0.01013,          0.00032295,             0.97682,             0.97306,             0.98933,             0.62844,            0.027157,           0.0090396,          0.00087803,            0.000298,            0.000298,            0.000298
